         953660 function calls (838464 primitive calls) in 9.611 seconds

   Ordered by: cumulative time
   List reduced from 1606 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.003    0.001    8.384    8.384 /Users/mfine/Exa/rank-test/src/rank_test/train.py:259(cli)
      2/1    0.004    0.002    8.381    8.381 /Users/mfine/Exa/rank-test/src/rank_test/train.py:125(train)
51708/579    0.031    0.000    4.765    0.008 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
51708/579    0.059    0.000    4.764    0.008 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1755(_call_impl)
      594    0.009    0.000    3.526    0.006 /Users/mfine/Exa/rank-test/src/rank_test/models.py:20(forward)
      594    0.006    0.000    3.387    0.006 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/models/distilbert/modeling_distilbert.py:745(forward)
        1    0.000    0.000    2.897    2.897 /Users/mfine/Exa/rank-test/src/rank_test/evaluate.py:273(evaluate_model)
        1    0.006    0.006    2.897    2.897 /Users/mfine/Exa/rank-test/src/rank_test/evaluate.py:88(evaluate_standardized_test)
       15    0.000    0.000    2.344    0.156 /Users/mfine/Exa/rank-test/src/rank_test/losses.py:638(forward)
       15    0.001    0.000    2.314    0.154 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/optim/optimizer.py:465(wrapper)
       15    0.001    0.000    2.312    0.154 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/optim/optimizer.py:60(_use_grad)
       15    0.000    0.000    2.311    0.154 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/optim/adam.py:212(step)
       15    0.000    0.000    2.306    0.154 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/optim/optimizer.py:130(maybe_fallback)
       15    0.000    0.000    2.306    0.154 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/optim/adam.py:865(adam)
       15    0.081    0.005    2.305    0.154 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/optim/adam.py:344(_single_tensor_adam)
      594    0.007    0.000    2.175    0.004 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/models/distilbert/modeling_distilbert.py:509(forward)
     3564    0.194    0.000    2.144    0.001 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/models/distilbert/modeling_distilbert.py:458(forward)
     3060    1.784    0.001    1.784    0.001 {method 'mul_' of 'torch._C.TensorBase' objects}
       15    0.155    0.010    1.235    0.082 /Users/mfine/Exa/rank-test/src/rank_test/losses.py:52(forward)
      594    0.867    0.001    0.963    0.002 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/modeling_attn_mask_utils.py:429(_prepare_4d_attention_mask_for_sdpa)
      411    0.905    0.002    0.905    0.002 {built-in method torch.tensor}
     3564    0.020    0.000    0.856    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/models/distilbert/modeling_distilbert.py:342(forward)
       11    0.000    0.000    0.734    0.067 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:208(cached_file)
